maths_midsem,maths_quiz,maths_internal,maths_endsem,maths_total,science_midsem,science_quiz,science_internal,science_endsem,science_total,english_midsem,english_quiz,english_internal,english_endsem,english_total,hindi_midsem,hindi_quiz,hindi_internal,hindi_endsem,hindi_total,social_science_midsem,social_science_quiz,social_science_internal,social_science_endsem,social_science_total,computer_science_midsem,computer_science_quiz,computer_science_internal,computer_science_endsem,computer_science_total,attendance_score,overall_marks_avg,final_weighted_score,result
6,6,13,27,52,4,4,2,41,51,6,7,6,42,61,12,4,9,20,45,14,0,10,45,69,18,7,13,47,85,0.13,60.5,51.62,1
19,1,2,28,50,3,2,6,32,43,15,9,3,40,67,25,7,13,32,77,7,3,8,34,52,15,3,1,36,55,9.54,57.333333333333336,63.04333333333334,1
14,5,14,7,40,16,0,6,24,46,13,9,13,50,85,12,10,1,13,36,13,8,8,27,56,15,4,11,14,44,3.4,51.166666666666664,48.59166666666666,0
10,9,13,18,50,20,7,10,37,74,4,0,6,19,29,14,9,2,15,40,15,1,4,31,51,1,4,2,47,54,9.32,49.666666666666664,56.19666666666666,0
7,2,4,47,60,9,5,7,13,34,6,6,3,39,54,10,4,9,27,50,23,10,15,46,94,10,1,8,37,56,3.21,58.0,54.114999999999995,0
20,8,14,20,62,11,4,15,8,38,16,5,13,12,46,22,9,0,45,76,15,9,12,42,78,10,2,2,16,30,6.4,55.0,56.35,0
6,2,7,17,32,4,6,13,26,49,14,1,14,33,62,7,5,15,40,67,17,8,0,48,73,11,1,11,6,29,5.9,52.0,53.05,0
25,10,0,8,43,6,4,1,43,54,24,6,9,18,57,8,3,13,8,32,16,2,3,32,53,4,0,8,3,15,8.13,42.333333333333336,48.178333333333335,0
18,2,1,3,24,11,10,6,18,45,23,2,7,44,76,4,3,8,33,48,1,7,4,19,31,7,7,14,45,73,9.1,49.5,55.724999999999994,0
22,4,1,40,67,22,3,3,24,52,6,3,4,26,39,1,2,6,10,19,9,7,12,30,58,25,5,2,9,41,4.61,46.0,46.015,0
10,6,11,24,51,1,4,14,31,50,9,10,15,28,62,9,1,6,18,34,13,0,5,49,67,5,9,6,16,36,4.26,50.0,48.89,0
10,7,15,33,65,19,10,5,21,55,17,5,1,18,41,12,3,8,28,51,20,5,3,44,72,20,1,4,14,39,8.02,53.833333333333336,57.78833333333333,0
23,10,3,8,44,16,6,3,28,53,10,2,12,42,66,14,10,6,49,79,7,7,3,40,57,9,8,2,17,36,1.34,55.833333333333336,49.468333333333334,0
20,6,8,8,42,12,10,14,27,63,21,0,8,26,55,20,8,0,43,71,19,2,8,18,47,24,7,13,22,66,2.6,57.333333333333336,52.63333333333333,1
3,8,1,17,29,4,5,8,43,60,13,9,14,1,37,13,8,3,37,61,5,8,4,11,28,18,6,15,14,53,1.19,44.666666666666664,39.75166666666666,0
7,4,11,10,32,4,9,13,12,38,3,0,8,39,50,10,3,8,8,29,3,3,0,16,22,23,6,7,27,63,3.0,39.0,37.65,0
23,9,15,12,59,19,9,0,27,55,2,5,14,38,59,13,8,5,6,32,23,0,14,16,53,15,10,3,17,45,5.44,50.5,51.084999999999994,0
2,10,13,37,62,25,10,0,2,37,23,3,0,0,26,6,4,13,30,53,10,4,9,3,26,11,9,3,12,35,6.88,39.833333333333336,44.178333333333335,0
21,2,10,8,41,11,8,15,29,63,13,6,4,13,36,13,10,7,2,32,19,1,6,24,50,23,1,6,35,65,2.74,47.833333333333336,44.76833333333333,0
20,5,12,15,52,11,9,4,10,34,19,8,2,7,36,2,8,2,7,19,14,8,8,28,58,7,5,4,25,41,7.01,40.0,44.515,0
1,4,14,3,22,6,1,4,1,12,2,7,9,26,44,9,8,5,8,30,18,5,7,18,48,18,9,0,12,39,4.17,32.5,33.88,0
23,3,11,33,70,5,6,10,49,70,20,2,10,32,64,20,8,14,14,56,16,6,8,3,33,10,3,2,5,20,7.44,52.166666666666664,55.501666666666665,0
11,1,8,6,26,9,0,7,49,65,24,6,4,30,64,5,8,3,7,23,19,6,3,29,57,3,3,6,24,36,5.37,45.166666666666664,46.446666666666665,0
5,6,6,14,31,18,7,6,8,39,25,0,3,29,57,5,6,14,16,41,23,5,5,19,52,24,7,14,28,73,8.68,48.833333333333336,54.528333333333336,0
1,4,9,37,51,15,3,10,32,60,2,1,2,24,29,19,8,7,49,83,4,5,0,46,55,0,7,6,35,48,8.49,54.333333333333336,58.91833333333334,0
20,3,7,10,40,1,7,2,25,35,24,8,6,48,86,2,0,14,31,47,22,0,5,28,55,18,6,6,39,69,4.26,55.333333333333336,53.42333333333333,0
0,7,0,31,38,3,7,7,15,32,19,9,4,35,67,15,3,2,22,42,13,7,14,44,78,22,9,11,44,86,8.06,57.166666666666664,60.681666666666665,0
11,8,12,26,57,8,3,13,24,48,11,7,0,37,55,10,5,4,0,19,21,2,10,19,52,16,1,3,29,49,5.78,46.666666666666664,48.336666666666666,0
25,8,4,29,66,25,3,3,0,31,9,6,3,0,18,19,5,12,45,81,22,10,7,10,49,20,5,13,19,57,2.41,50.333333333333336,46.39833333333333,0
21,2,8,16,47,4,4,2,20,30,19,10,0,30,59,16,10,1,35,62,10,9,14,42,75,1,8,14,36,59,1.16,55.333333333333336,48.77333333333333,0
11,2,11,35,59,0,6,1,19,26,17,9,14,34,74,23,0,11,6,40,22,2,6,19,49,6,8,6,15,35,0.47,47.166666666666664,40.79666666666666,0
24,4,3,18,49,10,5,8,4,27,11,1,2,20,34,11,0,15,13,39,7,0,0,30,37,7,6,3,25,41,2.49,37.833333333333336,35.89333333333333,0
16,4,1,6,27,18,0,13,16,47,23,1,10,33,67,2,0,15,9,26,24,2,3,20,49,24,1,14,21,60,0.83,46.0,40.345,0
9,9,5,42,65,24,5,11,39,79,3,6,9,16,34,3,7,6,20,36,11,3,1,38,53,22,7,0,19,48,1.88,52.5,47.445,0
15,1,1,44,61,22,2,6,37,67,18,6,14,8,46,10,0,8,33,51,12,4,3,49,68,17,7,2,22,48,4.22,56.833333333333336,54.638333333333335,1
14,0,2,20,36,2,8,4,0,14,18,5,9,28,60,8,8,4,34,54,18,10,11,46,85,15,8,13,6,42,1.58,48.5,43.595,0
14,7,13,27,61,0,2,8,12,22,16,9,4,7,36,25,9,11,39,84,24,1,13,10,48,9,8,9,18,44,7.29,49.166666666666664,52.72666666666667,0
18,2,7,2,29,3,8,2,17,30,7,4,5,18,34,24,1,8,47,80,0,5,10,6,21,18,2,14,25,59,0.13,42.166666666666664,36.03666666666666,0
11,0,14,13,38,8,4,12,3,27,10,5,10,46,71,5,8,14,32,59,3,10,9,43,65,24,5,5,45,79,9.27,56.5,61.92999999999999,0
22,0,15,1,38,15,9,12,46,82,4,8,0,5,17,19,8,12,11,50,4,0,7,24,35,14,2,6,33,55,3.85,46.166666666666664,45.016666666666666,0
19,10,2,28,59,6,7,12,13,38,4,3,9,23,39,23,10,1,12,46,3,9,2,36,50,25,1,8,25,59,1.07,48.5,42.83,0
24,1,1,17,43,4,8,15,47,74,12,9,8,5,34,22,1,15,30,68,10,10,13,20,53,8,0,13,23,44,0.09,52.666666666666664,44.901666666666664,0
2,5,5,36,48,12,8,5,4,29,3,0,12,39,54,21,3,7,14,45,12,0,1,7,20,2,3,9,31,45,9.18,40.166666666666664,47.91166666666666,0
4,5,13,44,66,10,6,7,32,55,12,8,13,2,35,21,10,2,34,67,21,3,2,9,35,2,1,11,39,53,4.6,51.833333333333336,50.958333333333336,0
18,2,2,44,66,13,9,8,25,55,15,7,8,30,60,8,10,9,8,35,7,8,8,34,57,1,4,10,42,57,8.71,55.0,59.815,0
6,3,15,23,47,21,0,3,3,27,11,10,0,30,51,19,8,4,5,36,3,2,15,27,47,18,5,14,12,49,5.44,42.833333333333336,44.56833333333333,0
20,1,0,45,66,16,7,0,29,52,13,1,6,11,31,13,8,2,36,59,6,3,1,1,11,14,10,5,2,31,1.19,41.666666666666664,37.20166666666666,0
8,1,11,11,31,22,6,7,16,51,20,3,15,7,45,5,7,4,2,18,12,5,0,37,54,8,7,4,13,32,6.52,38.5,42.504999999999995,0
6,6,13,44,69,11,3,9,27,50,20,2,3,42,67,15,4,4,43,66,6,10,2,42,60,20,9,13,6,48,7.37,60.0,62.055,1
17,0,14,31,62,20,5,2,5,32,8,2,12,25,47,17,0,0,39,56,23,4,4,29,60,20,5,6,10,41,5.26,49.666666666666664,50.10666666666666,0
3,6,14,17,40,22,9,5,26,62,5,5,13,25,48,8,1,11,13,33,24,6,8,20,58,12,8,2,36,58,2.8,49.833333333333336,46.55833333333334,0
24,0,13,12,49,20,1,15,35,71,24,6,15,14,59,6,3,7,48,64,13,3,4,15,35,21,3,4,40,68,8.34,57.666666666666664,61.526666666666664,0
13,5,2,3,23,20,3,3,6,32,7,7,1,12,27,23,8,13,13,57,21,4,4,40,69,21,3,14,36,74,0.95,47.0,41.37499999999999,0
17,2,5,22,46,18,7,5,0,30,15,6,11,21,53,17,3,6,22,48,16,6,11,43,76,23,3,2,24,52,5.36,50.833333333333336,51.248333333333335,0
25,7,15,9,56,4,3,11,9,27,18,8,10,12,48,11,4,7,48,70,17,5,1,39,62,12,9,2,43,66,8.36,54.833333333333336,59.14833333333333,0
8,5,2,4,19,23,9,2,12,46,1,1,10,45,57,4,0,2,0,6,16,1,10,26,53,21,6,1,6,34,3.97,35.833333333333336,36.413333333333334,0
25,10,8,49,92,7,3,6,40,56,5,9,1,8,23,13,4,14,35,66,16,6,13,34,69,7,9,12,36,64,4.0,61.666666666666664,58.416666666666664,0
20,1,6,39,66,1,3,1,31,36,1,3,5,23,32,24,1,6,49,80,15,4,12,43,74,24,9,12,49,94,2.88,63.666666666666664,58.43666666666666,0
1,7,13,13,34,16,9,4,13,42,18,1,14,2,35,13,8,13,32,66,5,5,8,44,62,4,3,12,40,59,3.63,49.666666666666664,47.66166666666666,0
19,4,4,33,60,1,8,2,32,43,18,10,5,22,55,2,9,6,23,40,10,9,8,6,33,17,3,2,38,60,3.4,48.5,46.325,0
14,7,1,27,49,22,10,15,29,76,12,2,4,11,29,6,9,1,25,41,0,3,11,41,55,11,3,9,34,57,3.64,51.166666666666664,48.95166666666666,0
6,7,14,7,34,2,1,4,8,15,16,9,2,40,67,15,10,2,9,36,5,1,3,27,36,4,6,5,39,54,0.77,40.333333333333336,35.43833333333333,0
11,5,8,15,39,23,6,2,5,36,20,0,10,43,73,20,8,11,38,77,21,0,10,10,41,18,9,14,8,49,3.2,52.5,49.425,0
7,1,4,30,42,19,2,8,9,38,7,7,6,10,30,21,4,5,17,47,7,0,7,29,43,25,9,9,50,93,9.42,48.833333333333336,55.638333333333335,0
14,7,6,6,33,25,3,7,10,45,8,4,2,18,32,20,7,3,9,39,11,8,6,12,37,5,6,2,8,21,3.79,34.5,35.01,0
2,10,8,2,22,25,0,13,38,76,22,4,12,8,46,21,9,3,5,38,2,8,13,49,72,4,7,8,0,19,9.34,45.5,52.684999999999995,0
13,5,3,28,49,23,2,1,19,45,4,7,10,36,57,8,5,0,34,47,21,10,10,28,69,25,6,3,25,59,0.36,54.333333333333336,46.723333333333336,1
16,5,8,35,64,17,1,7,24,49,7,10,6,9,32,22,9,12,4,47,9,8,0,45,62,18,5,10,44,77,6.36,55.166666666666664,56.431666666666665,0
